[2025-02-14 14:32:50] [INFO] [ETAFileLogger::__init__] ETA tracking log file initialized.
[2025-02-14 14:32:51] [INFO] [ETAVehicleTracker::__init__] Tracking vehicle flow_10 for ETA calculation.
[2025-02-14 14:32:51] [ERROR] [ETAVehicleTracker::initialize_tracking] Vehicle flow_10 not found in simulation.
[2025-02-14 14:32:51] [ERROR] [ETAVehicleTracker::track_vehicle] Error tracking vehicle flow_10 at step 0.
[2025-02-14 14:32:51] [ERROR] [ETAVehicleTracker::track_vehicle] Error tracking vehicle flow_10 at step 1.
[2025-02-14 14:32:51] [ERROR] [ETAVehicleTracker::track_vehicle] Error tracking vehicle flow_10 at step 2.
[2025-02-14 14:32:51] [ERROR] [ETAVehicleTracker::track_vehicle] Error tracking vehicle flow_10 at step 3.
[2025-02-14 14:32:51] [ERROR] [ETAVehicleTracker::track_vehicle] Error tracking vehicle flow_10 at step 4.
[2025-02-14 14:32:51] [ERROR] [ETAVehicleTracker::track_vehicle] Error tracking vehicle flow_10 at step 5.
[2025-02-14 14:32:51] [ERROR] [ETAVehicleTracker::track_vehicle] Error tracking vehicle flow_10 at step 6.
[2025-02-14 14:32:51] [ERROR] [ETAVehicleTracker::track_vehicle] Error tracking vehicle flow_10 at step 7.
[2025-02-14 14:32:51] [ERROR] [ETAVehicleTracker::track_vehicle] Error tracking vehicle flow_10 at step 8.
[2025-02-14 14:32:51] [ERROR] [ETAVehicleTracker::track_vehicle] Error tracking vehicle flow_10 at step 9.
[2025-02-14 14:32:51] [ERROR] [ETAVehicleTracker::track_vehicle] Error tracking vehicle flow_10 at step 10.
[2025-02-14 14:32:51] [ERROR] [ETAVehicleTracker::track_vehicle] Error tracking vehicle flow_10 at step 11.
[2025-02-14 14:32:51] [ERROR] [ETAVehicleTracker::track_vehicle] Error tracking vehicle flow_10 at step 12.
[2025-02-14 14:32:51] [ERROR] [ETAVehicleTracker::track_vehicle] Error tracking vehicle flow_10 at step 13.
[2025-02-14 14:32:51] [ERROR] [ETAVehicleTracker::track_vehicle] Error tracking vehicle flow_10 at step 14.
[2025-02-14 14:32:51] [ERROR] [ETAVehicleTracker::track_vehicle] Error tracking vehicle flow_10 at step 15.
[2025-02-14 14:32:51] [ERROR] [ETAVehicleTracker::track_vehicle] Error tracking vehicle flow_10 at step 16.
[2025-02-14 14:32:51] [ERROR] [ETAVehicleTracker::track_vehicle] Error tracking vehicle flow_10 at step 17.
[2025-02-14 14:32:51] [ERROR] [ETAVehicleTracker::track_vehicle] Error tracking vehicle flow_10 at step 18.
[2025-02-14 14:32:51] [ERROR] [ETAVehicleTracker::track_vehicle] Error tracking vehicle flow_10 at step 19.
[2025-02-14 14:32:51] [ERROR] [ETAVehicleTracker::track_vehicle] Error tracking vehicle flow_10 at step 20.
[2025-02-14 14:32:52] [ERROR] [ETAVehicleTracker::track_vehicle] Error tracking vehicle flow_10 at step 21.
[2025-02-14 14:32:52] [ERROR] [ETAVehicleTracker::track_vehicle] Error tracking vehicle flow_10 at step 22.
[2025-02-14 14:32:52] [ERROR] [ETAVehicleTracker::track_vehicle] Error tracking vehicle flow_10 at step 23.
